feed_version,feed_start_date,feed_end_date,stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,versao_modelo
2024-03-18,2024-03-18, ,3097OY0015C9, ,CMS Madre Teresa de Calcutá, , ,-22.78659,-43.1856, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4115O00217C0, ,Clube Professorado Campestre, , ,-22.930449,-43.436966, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4115O00263C0, ,Clube Professorado Campestre, , ,-22.930225,-43.436682, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2026O00038C0, ,Clube de Regatas do Flamengo, , ,-22.97811,-43.21849, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2028O00014C0, ,Colégio Divina Providência, , ,-22.9642,-43.22139, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3100O00010C0, ,Condomínio Novos Horizontes, , ,-22.80259,-43.20293, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3103O00004C0, ,Condomínio Novos Horizontes, , ,-22.802226,-43.202912, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4130O00023C0, ,Condomínio Reserva da Praia, , ,-22.98233,-43.464057, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4130O00005C0, ,Condomínio Reserva da Praia, , ,-22.982605,-43.463896, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00070C0, ,Desembargador Oscar Tenório, , ,-23.026915,-43.463577, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00027C0, ,Desembargador Oscar Tenório, , ,-23.027382,-43.463965, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2017O00059C0, ,EDI Professora Sarita Konder, , ,-22.936652,-43.196086, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2017O00003C0, ,EDI Professora Sarita Konder, , ,-22.93668,-43.19572, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3074O00028C1, ,Engenheiro Lafayete Stockler, , ,-22.840519,-43.314673, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3044O00009C0, ,Escola Municipal Brant Horta, , ,-22.83592,-43.28825, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00158C0, ,Escola Municipal Frei Gaspar, , ,-23.001123,-43.493638, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00159C0, ,Escola Municipal Frei Gaspar, , ,-23.000843,-43.493741, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5139O00013C9, ,Escola Municipal Gil Vicente, , ,-22.87573,-43.43715, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3082O00029C0, ,Escola Municipal Jaime Costa, , ,-22.875021,-43.314895, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3082O00041C1, ,Estação Cascadura :: Norte, , ,-22.882414,-43.327022, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,r156, ,Estação Madureira :: Norte, , ,-22.877169,-43.336312, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3083O00025C0, ,Estação Madureira :: Norte, , ,-22.876565,-43.335789, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3042O00056C9, ,GRES Independentes de Olaria, , ,-22.852543,-43.272186, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5145O00038C9, ,Garagem Auto Viação Jabour, , ,-22.89365,-43.53371, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5145O00013C9, ,Garagem Auto Viação Jabour, , ,-22.89368,-43.53337, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5151O00317C0, ,Horto Florestal de Guaratiba, , ,-22.99452,-43.59301, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,2037O00045C0, ,Hospital Federal do Andaraí, , ,-22.92798,-43.25196, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5148O00082C9, ,Jardim Palmares :: Linha 893, , ,-22.89181,-43.64475, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,1002O00007C0, ,Jardins Suspensos do Valongo, , ,-22.8984,-43.18773, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4130O00037C0, ,Jornalista Luiz Eduardo Lobo, , ,-22.986362,-43.45742, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
