service_id,date,exception_type
U_OBRA_007,20240909,1
U_DESAT_OBRA_007,20240909,2
U_OBRA_007,20240910,1
U_DESAT_OBRA_007,20240910,2
U_OBRA_007,20240911,1
U_DESAT_OBRA_007,20240911,2
U_OBRA_007,20240912,1
U_DESAT_OBRA_007,20240912,2
U_OBRA_007,20240913,1
U_DESAT_OBRA_007,20240913,2
S_OBRA_007,20240914,1
S_DESAT_OBRA_007,20240914,2
D_OBRA_007,20240915,1
D_DESAT_OBRA_007,20240915,2
U_OBRA_007,20240916,1
U_DESAT_OBRA_007,20240916,2
U_OBRA_007,20240917,1
U_DESAT_OBRA_007,20240917,2
U_OBRA_007,20240918,1
U_DESAT_OBRA_007,20240918,2
U_OBRA_007,20240919,1
U_DESAT_OBRA_007,20240919,2
U_OBRA_007,20240920,1
U_DESAT_OBRA_007,20240920,2
S_OBRA_007,20240921,1
S_DESAT_OBRA_007,20240921,2
D_OBRA_007,20240922,1
D_DESAT_OBRA_007,20240922,2
U_OBRA_007,20240923,1
U_DESAT_OBRA_007,20240923,2
U_OBRA_007,20240924,1
U_DESAT_OBRA_007,20240924,2
U_OBRA_007,20240925,1
U_DESAT_OBRA_007,20240925,2
U_OBRA_007,20240926,1
U_DESAT_OBRA_007,20240926,2
U_OBRA_007,20240927,1
U_DESAT_OBRA_007,20240927,2
S_OBRA_007,20240928,1
S_DESAT_OBRA_007,20240928,2
D_OBRA_007,20240929,1
D_DESAT_OBRA_007,20240929,2
U_OBRA_007,20240930,1
U_DESAT_OBRA_007,20240930,2
U_OBRA_007,20241001,1
U_DESAT_OBRA_007,20241001,2
U_OBRA_007,20241002,1
U_DESAT_OBRA_007,20241002,2
U_OBRA_007,20241003,1
U_DESAT_OBRA_007,20241003,2
U_OBRA_007,20241004,1
U_DESAT_OBRA_007,20241004,2
S_OBRA_007,20241005,1
S_DESAT_OBRA_007,20241005,2
D_OBRA_007,20241006,1
D_DESAT_OBRA_007,20241006,2
U_OBRA_007,20241007,1
U_DESAT_OBRA_007,20241007,2
U_OBRA_007,20241008,1
U_DESAT_OBRA_007,20241008,2
U_OBRA_007,20241009,1
U_DESAT_OBRA_007,20241009,2
U_OBRA_007,20241010,1
U_DESAT_OBRA_007,20241010,2
U_OBRA_007,20241011,1
U_DESAT_OBRA_007,20241011,2
D_OBRA_007,20241012,1
U_OBRA_007,20241012,2
D_DESAT_OBRA_007,20241012,2
U_DESAT_OBRA_007,20241012,2
D_OBRA_007,20241013,1
D_DESAT_OBRA_007,20241013,2
U_OBRA_007,20241014,1
U_DESAT_OBRA_007,20241014,2
U_OBRA_007,20241015,1
U_DESAT_OBRA_007,20241015,2
U_OBRA_007,20241016,1
U_DESAT_OBRA_007,20241016,2
U_OBRA_007,20241017,1
U_DESAT_OBRA_007,20241017,2
U_OBRA_007,20241018,1
U_DESAT_OBRA_007,20241018,2
S_OBRA_007,20241019,1
S_DESAT_OBRA_007,20241019,2
D_OBRA_007,20241020,1
D_DESAT_OBRA_007,20241020,2
U_OBRA_007,20241021,1
U_DESAT_OBRA_007,20241021,2
U_OBRA_007,20241022,1
U_DESAT_OBRA_007,20241022,2
U_OBRA_007,20241023,1
U_DESAT_OBRA_007,20241023,2
U_OBRA_007,20241024,1
U_DESAT_OBRA_007,20241024,2
U_OBRA_007,20241025,1
U_DESAT_OBRA_007,20241025,2
S_OBRA_007,20241026,1
S_DESAT_OBRA_007,20241026,2
D_OBRA_007,20241027,1
D_DESAT_OBRA_007,20241027,2
U_OBRA_007,20241028,1
U_DESAT_OBRA_007,20241028,2
U_OBRA_007,20241029,1
U_DESAT_OBRA_007,20241029,2
U_OBRA_007,20241030,1
U_DESAT_OBRA_007,20241030,2
U_OBRA_007,20241031,1
U_DESAT_OBRA_007,20241031,2
U_OBRA_007,20241101,1
U_DESAT_OBRA_007,20241101,2
D_OBRA_007,20241102,1
U_OBRA_007,20241102,2
D_DESAT_OBRA_007,20241102,2
U_DESAT_OBRA_007,20241102,2
D_OBRA_007,20241103,1
D_DESAT_OBRA_007,20241103,2
U_OBRA_007,20241104,1
U_DESAT_OBRA_007,20241104,2
U_OBRA_007,20241105,1
U_DESAT_OBRA_007,20241105,2
U_OBRA_007,20241106,1
U_DESAT_OBRA_007,20241106,2
U_OBRA_007,20241107,1
U_DESAT_OBRA_007,20241107,2
U_OBRA_007,20241108,1
U_DESAT_OBRA_007,20241108,2
S_OBRA_007,20241109,1
S_DESAT_OBRA_007,20241109,2
D_OBRA_007,20241110,1
D_DESAT_OBRA_007,20241110,2
U_OBRA_007,20241111,1
U_DESAT_OBRA_007,20241111,2
U_OBRA_007,20241112,1
U_DESAT_OBRA_007,20241112,2
U_OBRA_007,20241113,1
U_DESAT_OBRA_007,20241113,2
U_OBRA_007,20241114,1
U_DESAT_OBRA_007,20241114,2
D_OBRA_007,20241115,1
U_OBRA_007,20241115,2
D_DESAT_OBRA_007,20241115,2
U_DESAT_OBRA_007,20241115,2
S_OBRA_007,20241116,1
S_DESAT_OBRA_007,20241116,2
D_OBRA_007,20241117,1
D_DESAT_OBRA_007,20241117,2
U_OBRA_007,20241118,1
U_DESAT_OBRA_007,20241118,2
U_OBRA_007,20241119,1
U_DESAT_OBRA_007,20241119,2
D_OBRA_007,20241120,1
U_OBRA_007,20241120,2
D_DESAT_OBRA_007,20241120,2
U_DESAT_OBRA_007,20241120,2
U_OBRA_007,20241121,1
U_DESAT_OBRA_007,20241121,2
U_OBRA_007,20241122,1
U_DESAT_OBRA_007,20241122,2
